Stock,Start_Price,Mu,GBM_Sigma,Heston_V0,Heston_Theta,Heston_Kappa,Heston_Sigma,Heston_Rho,GBM_Mean,GBM_Median,GBM_Std,GBM_5%,GBM_25%,GBM_75%,GBM_95%,GBM_Prob_Loss,GBM_Skewness,GBM_Kurtosis,Heston_Mean,Heston_Median,Heston_Std,Heston_5%,Heston_25%,Heston_75%,Heston_95%,Heston_Prob_Loss,Heston_Skewness,Heston_Kurtosis
AAPL,313.45001220703125,0.1942749516481472,0.2798190489436017,0.10359914896917544,0.08143360449937195,4.551599344392887,0.6667142379192804,0.02527797878871731,380.0507906742733,366.3814398427663,108.35155179001609,229.10687749197183,302.8972534355082,440.05383935310203,579.4478782150045,0.2892,0.8653709821780864,1.3222105764565573,380.67407793720025,365.6236445385121,114.40273281390523,224.18044936770266,302.84485263795636,441.72502858460285,587.3671712306738,0.2912,1.0345401762242818,2.4114534472513087
MSFT,496.3699951171875,0.14899496173842033,0.2802484755786004,0.3065271907976463,0.09075881666897949,4.841261549978381,0.7669356980981397,0.05820703733428449,579.5234070186211,555.2313868547035,168.35206469556698,350.7693501618648,459.92071578688365,673.6391325924709,888.814231699488,0.3447,0.9173477403733014,1.5132901715970615,576.9916263443298,536.0132676296976,223.0439814108157,297.40477196343534,425.78789049901525,683.6401038948367,978.6909064981038,0.4074,1.628791461881178,7.353060722394014
NVDA,209.66000366210938,0.5806484521497891,0.5143496643745541,0.12465377994102747,0.2694230873339232,7.344470043222643,1.3113797109698306,0.14996135554212875,375.9721416050717,330.79197323904395,209.42159776441042,140.13642166144163,233.07608005455182,465.8126977861803,761.5795314692978,0.1926,2.0214251188847223,9.12972481380581,374.4408204406509,327.9622377440746,204.0523049532393,147.0706879132961,239.41992997590484,457.6831205614284,750.852721670658,0.1719,2.130911434951456,8.886967220598025
AMZN,260.2799987792969,0.15457398958093607,0.36305474429424983,0.3383913984856298,0.14348267314299964,6.08240695878648,0.9667582536518461,0.027197664711712217,305.0214616421775,285.2264469481182,114.83284968509794,156.98097708870088,223.5869755837982,366.49240183447904,515.1508786083479,0.4014,1.2475928385216697,3.1933096749725927,305.1160990835889,279.30974065495934,138.23646457206027,137.61231203165627,211.7144242575332,368.8588050214813,555.7436922114003,0.4319,1.766796336175273,7.101275283688084
GOOGL,342.0,0.22715275644885405,0.3206770709211751,0.1390419039326631,0.10693143608762422,9.045578228648145,0.8038897379919798,-0.007280998357214894,428.6971018949121,406.06695727409885,141.3775494467506,237.36804283718803,329.147057375784,506.1063663091023,688.6264232047903,0.2907,1.0041603017342073,1.7934657865581176,428.473035802471,407.0500116614685,146.58701634977203,232.99714857995164,325.0277362244399,506.0914177610451,699.4944244226582,0.3015,1.1338773424955115,2.851439485734981
META,576.1400146484375,0.19206001033064132,0.45312640475365457,0.22419065131254506,0.21147314691469216,9.949324673966139,2.266876723197455,-0.036092410398506525,699.8280202220816,631.0143234394686,337.37766259031963,297.8854519746682,462.2028676515226,856.5213448439696,1331.924740972746,0.4251,1.5426283208476392,4.31975734197375,696.6508029514533,631.1710072133967,346.0296213499051,285.8376062039317,467.12232869802165,846.6001764372792,1327.812628102011,0.4172,1.998176596742553,9.263168852226327
DORM,129.39999389648438,0.11568378697584157,0.33780980295467067,0.4348162000972566,0.12475989407811557,7.909029729391289,1.0677111181346712,-0.053978015003115186,145.54402989435886,137.2725651984202,50.86146582549673,78.89657803661498,109.327723979089,173.06234523804267,240.4854802394254,0.4327,1.0559108547881768,1.8347203286176477,145.6347878705095,134.9389148240571,60.86217534211199,68.56301990306942,103.2163195564886,175.07200419179043,258.8672795928464,0.4585,1.3933459792410103,4.33830385096896
GS,1040.4599609375,0.24779368711700567,0.2857830040782127,0.11759673658233627,0.08428160034711357,6.5288366716417725,0.7150298278119078,0.08491628143195999,1330.6596904393264,1277.285317665599,382.57730204510483,803.8502529726022,1058.4542614322593,1550.0872006893328,2035.9301032366357,0.2347,0.8354981536767434,1.141174001324476,1331.3345433998868,1273.400266477105,409.37657645620277,779.6693871862619,1044.1336424472968,1549.6020203703915,2067.0447098425952,0.2469,1.0897454269877966,2.366246213093759
BNY,163.0800018310547,0.2709284270941225,0.24549171983026954,0.04369830657726714,0.05958164217028655,5.200064244662963,0.5495359822729103,-0.060781173863356394,214.23589450802524,208.07677789586938,52.97308885177368,139.3669698911217,176.6468521264676,245.22948439084553,309.454499836593,0.1579,0.8000459187645187,1.5446706626595486,214.25040671866824,208.64193331910025,51.67984595130126,139.68861988133412,178.39442415231372,244.5901120199432,306.01920293438917,0.1449,0.7269801976860177,1.26585190592903
REGN,814.7899780273438,0.0919480347317362,0.31204357163679686,0.09319708424125654,0.09900828847037053,9.680825376917134,1.09114444611798,-0.1045463020904687,894.5007858369295,850.1239841947029,285.51959145391874,505.6020827009706,691.6904600456547,1050.7386228680334,1420.3713661952786,0.4413,0.9459730003514178,1.4858197475190815,894.8982141840987,857.7951424425007,284.43853537444414,502.7769636957095,699.4357055976569,1048.3836682706037,1420.1449070827305,0.4348,1.0007391581565035,2.321026173140015
LRCX,312.8800048828125,0.4600857001832813,0.49125635257472866,0.6341017130005299,0.2731555248861824,3.9208167350672416,0.9668928147479275,-0.049975501130033836,494.7581042323835,435.85850015472056,259.6206235711801,193.00990898099607,315.03818339329837,611.8121425900272,986.7588360799301,0.245,1.6802968501341722,4.869283526338188,494.2792827658034,416.75966217744053,324.1851116945259,151.62072186178258,282.1154358262476,613.6267488709394,1108.6162548423533,0.3094,2.1966416035018654,8.449252609941148
GEV,953.0900268554688,0.9709189836519909,0.5354437131550699,0.2463375591823813,0.28742465402914247,9.572791778887533,1.7852632560669979,-0.19813501972460082,2530.4425806290506,2194.8547805919393,1466.510150493227,911.2013386120916,1516.5622811136734,3146.042635921168,5300.3773714575755,0.0602,1.9133136705178913,6.942347421846399,2512.4949798942766,2258.7521152754643,1362.8545590942247,865.6868010747473,1558.729352800893,3169.1675016566273,5041.8379588148655,0.0698,1.599491927642578,5.6331104279908715
KO,90.08000183105469,0.14053949275381022,0.16691781976202316,0.02102468841311569,0.028081393019971933,6.331074881328417,0.3750773051944722,-0.06024137467027816,103.62160321062775,102.38937176178673,17.324522378858177,77.6623759433973,91.12967800690004,114.32994042697493,134.13164365873607,0.2282,0.47267988539503747,0.44098680827303216,103.78071817168691,102.32644991351843,17.020307201394413,78.57740939032045,92.08831604917214,113.91697268939441,133.32420364819157,0.2082,0.5538364457811787,0.9067395859878142
